income_am,profit_last_am,profit_am,damage_am,damage_inc,crd_lim_rec,cab_requests,married_cd,bar_no,neighbor_income,age,client_segment,sect_empl,fam_adult_size,children_no,tenure_mts,tenure_yrs,claims_no,claims_am,nights_booked,shop_am,score_pos,score_neg,male,female,cash/debitcard_use,creditcard_use,not_insured,insured,no_spa,spa,no_empl,empl,no_sport,sport,no_marketing_perm,marketing_perm,no_dining,dining,no_presidential,yes_presidential,no_prev_stay,perv_stay,no_prev_all_in_stay,yes_prev_all_in_stay,no_divorce,yes_divorce,no_company_card,company_card,no_shop_use,yes_shop_use,not_retired,yes_retired,no_gold_status,yes_gold_status,outcome_damage_inc
5660.0,4320.0,8640.0,0.0,0,8000.0,11,1,6,34033.0,42,2,1,3,2,575,48,0,0.0,52,8,0.4810803251607266,0.5802135439496307,0,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.3987536534159773
3990.0,9.0,3450.0,0.0,0,12500.0,7,1,5,36372.0,42,1,1,2,0,174,15,0,0.0,4,0,0.0,0.0,1,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.49591100176368313
1158.0,82.0,4194.0,408.0,4,12000.0,10,1,11,37619.0,38,1,0,3,1,229,19,0,0.0,222,0,0.3601064978225188,0.568299098265522,1,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.7283083420985054
2451.0,791.0,2119.0,0.0,0,0.0,4,1,5,29266.0,66,1,0,1,0,375,31,0,0.0,3,0,0.0,0.0,1,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.4691288828408346
946.0,222.0,2036.0,0.0,0,0.0,5,1,0,36221.0,63,2,0,1,0,417,35,0,0.0,34,0,0.0,0.0,0,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5136068436306692
227.0,0.0,1620.0,0.0,0,0.0,4,1,6,22576.0,18,0,0,1,0,1,0,0,0.0,4,0,0.0,0.0,1,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.7092284003494885
1359.0,467.0,2395.0,0.0,0,12500.0,5,0,10,18045.0,34,1,0,2,0,184,15,0,0.0,13,0,0.0,0.0,1,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.4426934987210226
2591.0,869.0,2209.0,0.0,0,0.0,6,1,7,31751.0,61,1,0,1,0,382,32,0,0.0,2,7,0.5804982283810558,0.5852236327849498,1,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.4715369615189203
6426.0,2018.0,9015.0,2333.0,2,10000.0,10,0,3,39853.0,33,2,0,2,0,136,11,0,0.0,4,0,0.5766048382786364,0.277479321699845,1,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.49845130640237617
8622.0,3518.0,3014.0,0.0,0,0.0,6,0,3,27090.0,79,2,0,1,0,324,27,0,0.0,33,0,0.2928878969256611,0.7889283756723119,0,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.3820958133872989
280.0,22.0,1956.0,0.0,0,1500.0,10,1,7,33268.0,49,1,0,2,0,26,2,0,0.0,13,0,0.8634763323180045,0.7401315342432478,0,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.4106169363818178
374.0,30.0,1729.0,0.0,0,5500.0,2,1,4,32676.807933194155,23,1,0,2,1,107,9,0,0.0,19,0,0.7603890170730757,0.8873669254896944,0,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.2674699644409246
1386.0,479.0,4054.0,562.0,3,8000.0,2,0,7,28830.0,46,1,0,2,0,323,27,0,0.0,74,0,0.2973878483020569,0.2613318004900621,1,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5426751286720782
227.0,0.0,1621.0,0.0,0,0.0,3,1,5,25249.0,32,1,0,2,0,32,3,0,0.0,4,0,0.0,0.0,1,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.7047987842432631
3532.0,1065.0,2337.0,0.0,0,0.0,9,1,1,40046.0,58,2,0,1,0,290,24,0,0.0,4,0,0.5061513492529714,0.4858734418549869,0,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5720426071949204
1190.0,325.0,6688.0,1676.0,2,8500.0,4,0,5,34869.0,30,2,0,3,1,338,28,0,0.0,52,6,0.2056930291811279,0.1310495369069955,0,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.4534840601884065
